Titre,URL,Image,Date,Etat,Prix,Nb_enchere,FDP
Carte Pokemon Miasmax V 100/203 NEUVE FR Evolution Celeste EB07 Épée et Bouclier,https://www.ebay.fr/itm/144530067330?hash=item21a6a9cf82:g:qTcAAOSwQGNiYux~,https://i.ebayimg.com/thumbs/images/g/qTcAAOSwQGNiYux~/s-l225.webp,"Vendu 6 mai 2022
Objet vendu",Neuf,"1,00 EUR",1 enchère,"+3,00 EUR (livraison)"
Cartes Pokémon Léviator V et Vmax 020/067 & 021/067 Blue Sky Stream s7R JAP,https://www.ebay.fr/itm/363799159643?hash=item54b41ea35b:g:N70AAOSw6~tiVXgt,https://i.ebayimg.com/thumbs/images/g/N70AAOSw6~tiVXgt/s-l225.webp,"Vendu 6 mai 2022
Objet vendu",,"5,90 EUR",,"+2,00 EUR (livraison)"
✨Carte Pokémon ✨Dracaufeu Vstar ✨018/172 ✨- Epée et Bouclier Stars Etincelantes,https://www.ebay.fr/itm/194924355723?hash=item2d6265a08b:g:SgIAAOSwDG1iNMBL,https://i.ebayimg.com/thumbs/images/g/SgIAAOSwDG1iNMBL/s-l225.webp,"Vendu 6 mai 2022
Objet vendu",Neuf,"45,00 EUR",,"+1,80 EUR (livraison)"
Carte Pokemon ROY 202/203 FA Full Art Epée et Bouclier 7 EB07 FR NEUF,https://www.ebay.fr/itm/224963164547?hash=item3460d97983:g:sBAAAOSwQjdia940,https://i.ebayimg.com/thumbs/images/g/sBAAAOSwQjdia940/s-l225.webp,"Vendu 6 mai 2022
Objet vendu",,"10,50 EUR",10 enchères,"+2,00 EUR (livraison)"
Carte Pokemon Noctali V Max 095/203 Epée et Bouclier Evolution Celeste,https://www.ebay.fr/itm/224963164289?hash=item3460d97881:g:zqYAAOSwAS9ia-GY,https://i.ebayimg.com/thumbs/images/g/zqYAAOSwAS9ia-GY/s-l225.webp,"Vendu 6 mai 2022
Objet vendu",,"15,00 EUR",14 enchères,"+2,00 EUR (livraison)"
Carte Pokémon Miasmax Vmax 101/203 EB7 Evolution Céleste Neuve FR,https://www.ebay.fr/itm/224963163958?hash=item3460d97736:g:NzIAAOSwCbFia-~u,https://i.ebayimg.com/thumbs/images/g/NzIAAOSwCbFia-~u/s-l225.webp,"Vendu 6 mai 2022
Objet vendu",,"8,26 EUR",11 enchères,"+2,00 EUR (livraison)"
Galvagon Vmax - EB07:Évolution Céleste - 059/203 - Carte Pokemon Française Neuve,https://www.ebay.fr/itm/224963163630?hash=item3460d975ee:g:fbgAAOSwAiRia~A9,https://i.ebayimg.com/thumbs/images/g/fbgAAOSwAiRia~A9/s-l225.webp,"Vendu 6 mai 2022
Objet vendu",,"4,50 EUR",7 enchères,"+2,00 EUR (livraison)"
Carte Pokémon Mentali V 064/203 EB07 Epée Bouclier Evolution Céleste FR NEUF,https://www.ebay.fr/itm/224963163371?hash=item3460d974eb:g:jB0AAOSwrQNia~GK,https://i.ebayimg.com/thumbs/images/g/jB0AAOSwrQNia~GK/s-l225.webp,"Vendu 6 mai 2022
Objet vendu",,"2,50 EUR",5 enchères,"+2,00 EUR (livraison)"
Carte Pokémon DESSELIANDE V 013/203 evolution celeste EB07 FR ,https://www.ebay.fr/itm/224963163088?hash=item3460d973d0:g:azsAAOSwG0xia~OH,https://i.ebayimg.com/thumbs/images/g/azsAAOSwG0xia~OH/s-l225.webp,"Vendu 6 mai 2022
Objet vendu",,"2,50 EUR",3 enchères,"+2,00 EUR (livraison)"
"Carte Pokemon SINISTRAIL 009/072 V Epée et Bouclier 4,5 EB4.5 FR NEUF",https://www.ebay.fr/itm/294944479311?hash=item44ac0f984f:g:0r8AAOSwqoFiZFPS,https://i.ebayimg.com/thumbs/images/g/0r8AAOSwqoFiZFPS/s-l225.webp,"Vendu 6 mai 2022
Objet vendu",Neuf,"5,60 EUR",,"+1,52 EUR (livraison)"
Carte Pokemon Chartor V - 024/202 - Epée et Bouclier FR,https://www.ebay.fr/itm/294944488003?hash=item44ac0fba43:g:lqsAAOSwB1FiZFV4,https://i.ebayimg.com/thumbs/images/g/lqsAAOSwB1FiZFV4/s-l225.webp,"Vendu 6 mai 2022
Objet vendu",Neuf,"4,00 EUR",,"+1,52 EUR (livraison)"
